riding,cname,party,votes,percent
Vancouver-Point Grey,David Stall,Your Political Party of BC (YPP),60,0.0027
Vancouver-Point Grey,Brian Taylor,Independent,80,0.0036
Vancouver-Point Grey,86 of 86 ballot boxes reported,22380,1,
Vancouver-Quilchena,Michael Barkusky,BC Green Party,2974,0.1471
Vancouver-Quilchena,Madeline Lalonde,BC NDP,5525,0.2734
Vancouver-Quilchena,William Morrison,Libertarian,238,0.0118
Vancouver-Quilchena,Andrew Wilkinson,BC Liberal Party,11474,0.5677
Vancouver-Quilchena,79 of 79 ballot boxes reported,20211,1,
Vancouver-West End,Spencer Chandra Herbert,BC NDP,12195,0.6128
Vancouver-West End,John Clarke,Libertarian,322,0.0162
Vancouver-West End,Leon David Dunn,Independent,100,0.005
Vancouver-West End,Nigel Elliott,BC Liberal Party,4583,0.2303
Vancouver-West End,James Marshall,BC Green Party,2701,0.1357
Vancouver-West End,93 of 93 ballot boxes reported,19901,1,
Vernon-Monashee,Barry Charles Dorval,BC NDP,7588,0.2926
Vernon-Monashee,Eric Bailey Foster,BC Liberal Party,12473,0.481
Vernon-Monashee,Don Jefcoat,Libertarian,313,0.0121
Vernon-Monashee,Keli Westgate,BC Green Party,5557,0.2143
Vernon-Monashee,119 of 119 ballot boxes reported,25931,1,
Victoria-Beacon Hill,Karen Bill,BC Liberal Party,4296,0.1571
Victoria-Beacon Hill,Kalen Harris,BC Green Party,8274,0.3026
Victoria-Beacon Hill,Carole James,BC NDP,14476,0.5295
Victoria-Beacon Hill,Art Lowe,Libertarian,168,0.0061
Victoria-Beacon Hill,Jordan Reichert,Independent,94,0.0034
Victoria-Beacon Hill,David Shebib,Independent,32,0.0012
Victoria-Beacon Hill,104 of 104 ballot boxes reported,27340,1,
Victoria-Swan Lake,David Costigane,The Vancouver Island Party,181,0.0079
Victoria-Swan Lake,Rob Fleming,BC NDP,12181,0.5336
Victoria-Swan Lake,Christopher Alan Maxwell,BC Green Party,6826,0.299
Victoria-Swan Lake,Stacey Piercey,BC Liberal Party,3642,0.1595
Victoria-Swan Lake,88 of 88 ballot boxes reported,22830,1,
West Vancouver-Capilano,Michael Markwick,BC Green Party,4067,0.1922
West Vancouver-Capilano,Mehdi Russel,BC NDP,4874,0.2304
West Vancouver-Capilano,Ralph Sultan,BC Liberal Party,12215,0.5774
West Vancouver-Capilano,95 of 95 ballot boxes reported,21156,1,
West Vancouver-Sea to Sky,Michael Cambridge,Libertarian,168,0.0075
West Vancouver-Sea to Sky,Tristan Andrew Galbraith,Independent,135,0.006
West Vancouver-Sea to Sky,Michelle Livaja,BC NDP,6068,0.2701
West Vancouver-Sea to Sky,Jordan Sturdy,BC Liberal Party,9649,0.4295
West Vancouver-Sea to Sky,Dana Moore Taylor,BC Green Party,6447,0.287
West Vancouver-Sea to Sky,89 of 89 ballot boxes reported,22467,1,
